id,game,fullDate,team_name,week,winner,duration_min,total_kills,total_assists,total_deaths,total_gold,gold_min,total_damage,damage_min,red_buff,blue_buff,lord_kill,tortoise_kill,tower_destroy,sum_buffs,KDA,assists_taken,gold_w3,gold_w1,damage_w3,damage_w1,id_encode,game_encode,team_name_encode,fullDate_encode
https://ph-mpl.com/data/match/onic-nxpe-20220220,game1,2022-02-20 16:00:00,ONIC,1,0,18.2,6,6,18,49505,2722,190493,10476,7,7,0,1,2,14,0.67,43,4641.09,1768.04,17858.72,6803.32,42,0,5,5
https://ph-mpl.com/data/match/onic-nxpe-20220220,game1,2022-02-20 16:00:00,NXPE,1,1,18.2,18,43,6,59326,3262,240453,13223,10,12,3,2,9,22,10.17,23,1647.94,308.99,6679.25,1252.36,42,0,3,5
https://ph-mpl.com/data/match/onic-nxpe-20220220,game2,2022-02-20 16:00:00,ONIC,1,0,14.43,8,23,3,40482,2804,134168,9295,5,4,0,1,0,9,10.33,5,3795.19,421.69,12578.25,1397.58,42,1,5,5
https://ph-mpl.com/data/match/onic-nxpe-20220220,game2,2022-02-20 16:00:00,NXPE,1,1,14.43,3,5,8,47315,3278,100629,6971,9,12,2,2,9,21,1.0,44,2957.19,1314.31,6289.31,2795.25,42,1,3,5
https://ph-mpl.com/data/match/omg-echo-20220220,game1,2022-02-20 18:00:00,ECHO,1,1,15.07,19,44,3,51293,3404,177993,11813,7,10,2,3,9,17,21.0,9,1373.92,261.7,4767.67,908.13,33,0,2,6
https://ph-mpl.com/data/match/omg-echo-20220220,game1,2022-02-20 18:00:00,OMG,1,0,15.07,3,9,19,40939,2717,124182,8242,5,5,0,0,1,10,0.63,21,7676.06,1137.19,23284.12,3449.5,33,0,4,6
https://ph-mpl.com/data/match/omg-echo-20220220,game2,2022-02-20 18:00:00,ECHO,1,1,10.2,13,21,1,36733,3601,108625,10649,6,8,1,3,6,14,34.0,3,1449.99,367.33,4287.83,1086.25,33,1,2,6
https://ph-mpl.com/data/match/omg-echo-20220220,game2,2022-02-20 18:00:00,OMG,1,0,10.2,1,3,13,25071,2457,52586,5155,3,3,0,0,0,6,0.31,28,18803.25,2089.25,39439.5,4382.17,33,1,4,6
https://ph-mpl.com/data/match/rsg-bren-20220225,game1,2022-02-25 18:00:00,RSG,2,1,9.92,11,28,2,35761,3606,130368,13146,6,6,1,2,8,12,19.5,5,1411.62,288.4,5146.11,1051.35,46,0,6,7
https://ph-mpl.com/data/match/rsg-bren-20220225,game1,2022-02-25 18:00:00,BREN,2,0,9.92,2,5,11,23552,2374,59062,5955,3,5,0,0,1,8,0.64,7,5888.0,1177.6,14765.5,2953.1,46,0,1,7
https://ph-mpl.com/data/match/rsg-bren-20220225,game2,2022-02-25 18:00:00,BREN,2,0,11.7,3,7,17,30162,2577,103888,8879,3,3,0,1,0,6,0.59,35,7540.5,942.56,25972.0,3246.5,46,1,1,7
https://ph-mpl.com/data/match/rsg-bren-20220225,game2,2022-02-25 18:00:00,RSG,2,1,11.7,17,35,4,41336,3532,148901,12726,7,8,1,2,8,15,13.0,14,1240.08,271.95,4467.03,979.61,46,1,6,7
